id,name,type,age,role,company,department,location,salary,experience,skills
1,Alice Johnson,Person,30,Software Engineer,TechCorp,Engineering,San Francisco,95000,5,"JavaScript,Python,React"
2,Bob Smith,Person,28,Product Manager,TechCorp,Product,San Francisco,85000,4,"Strategy,Analytics,Agile"
3,Charlie Brown,Person,35,Senior Developer,TechCorp,Engineering,New York,105000,8,"Java,Spring,Microservices"
4,Diana Prince,Person,32,UX Designer,DesignStudio,Design,Los Angeles,75000,6,"Figma,Sketch,UserResearch"
5,Eve Wilson,Person,29,DevOps Engineer,CloudTech,Operations,Seattle,90000,5,"AWS,Docker,Kubernetes"
6,Frank Miller,Person,41,Tech Lead,TechCorp,Engineering,San Francisco,125000,12,"Python,Architecture,Leadership"
7,Grace Lee,Person,26,Junior Developer,StartupXYZ,Engineering,Austin,65000,2,"React,Node.js,MongoDB"
8,Henry Davis,Person,38,Data Scientist,DataCorp,Analytics,Boston,110000,9,"Python,ML,TensorFlow"
9,Ivy Chen,Person,33,Security Engineer,SecureTech,Security,Washington DC,98000,7,"Cybersecurity,Penetration Testing,CISSP"
10,Jack Taylor,Person,27,Frontend Developer,WebStudio,Engineering,Portland,72000,3,"Vue.js,CSS,HTML"
11,Kate Brown,Person,31,Backend Developer,TechCorp,Engineering,New York,88000,6,"Node.js,PostgreSQL,Redis"
12,Liam Garcia,Person,34,Solutions Architect,CloudTech,Architecture,Seattle,115000,10,"AWS,System Design,Microservices"
13,Mia Rodriguez,Person,25,QA Engineer,TestCorp,Quality,Denver,68000,3,"Testing,Selenium,API Testing"
14,Noah Martinez,Person,36,Engineering Manager,TechCorp,Engineering,San Francisco,135000,11,"Leadership,Java,Agile"
15,Olivia Anderson,Person,29,Mobile Developer,AppStudio,Engineering,Miami,82000,5,"React Native,iOS,Android"
16,Peter Johnson,Person,42,CTO,StartupXYZ,Executive,Austin,180000,15,"Leadership,Strategy,Full Stack"
17,Quinn Wilson,Person,28,Site Reliability Engineer,CloudTech,Operations,Seattle,95000,5,"Linux,Monitoring,Automation"
18,Rachel Davis,Person,30,Technical Writer,TechCorp,Documentation,San Francisco,70000,4,"Technical Writing,Documentation,API Docs"
19,Sam Chen,Person,37,Database Administrator,DataCorp,Infrastructure,Boston,92000,8,"PostgreSQL,MySQL,Performance Tuning"
20,Tina Lee,Person,26,UI Developer,DesignStudio,Design,Los Angeles,69000,3,"CSS,JavaScript,Responsive Design"
21,Uma Patel,Person,32,Cloud Engineer,CloudTech,Infrastructure,Seattle,89000,6,"Azure,Terraform,CI/CD"
22,Victor Kim,Person,39,Principal Engineer,TechCorp,Engineering,New York,140000,13,"Distributed Systems,Scala,Kafka"
23,Wendy Zhang,Person,27,Data Engineer,DataCorp,Analytics,Boston,85000,4,"Spark,Hadoop,ETL"
24,Xavier Brown,Person,33,Product Owner,TechCorp,Product,San Francisco,95000,7,"Product Management,Scrum,Roadmapping"
25,Yuki Tanaka,Person,31,Machine Learning Engineer,MLCorp,AI,Palo Alto,105000,6,"Python,PyTorch,MLOps"
26,Zoe Martinez,Person,28,Customer Success Engineer,SaaSTech,Customer Success,Chicago,75000,4,"Customer Support,SaaS,Problem Solving"
27,Adam Wilson,Person,35,Full Stack Developer,WebDev,Engineering,Remote,88000,8,"MEAN Stack,REST APIs,GraphQL"
28,Betty Chen,Person,29,Scrum Master,AgileCorp,Process,San Diego,78000,5,"Scrum,Agile,Team Facilitation"
